,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
19640706,0.12,0.38,0.31,0.09,0.59,0.4
19640707,-0.07,0.2,-0.03,-0.16,0.24,0.23
19640708,0.12,0.09,0.13,0.19,-0.04,0.07
19640709,0.56,0.57,0.28,0.33,0.07,0.13
19640710,0.21,0.32,0.33,0.19,-0.05,0.43
19640713,-0.12,0.22,0.21,0.03,-0.3,0.15
19640714,0.24,-0.09,-0.33,-0.19,-0.39,-0.27
19640715,0.32,0.17,0.51,0.12,0.42,0.45
19640716,0.15,0.31,-0.14,0.62,0.16,0.44
19640717,0.24,0.23,0.47,0.34,0.35,0.62
19640720,-0.17,-0.06,-0.11,-0.16,-0.18,-0.54
19640721,-0.12,-0.01,-0.21,-0.32,-0.19,-0.12
19640722,0.19,-0.17,0.2,0.01,-0.1,0.19
19640723,0.2,-0.01,0.13,-0.11,-0.05,-0.01
19640724,0.12,-0.09,0.15,-0.12,0.14,-0.18
19640727,-0.56,-0.41,-0.63,-0.5,-0.48,-0.46
19640728,-0.18,-0.04,-0.11,-0.56,-0.08,-0.32
19640729,-0.13,0.02,0.45,0.35,0.03,0.2
19640730,0.04,-0.07,0,0.49,0.29,-0.05
19640731,0.48,0.13,-0.1,0.01,0.22,0.01
19640803,-0.66,-0.22,-0.28,0,-0.27,-0.24
19640804,-1.34,-1.11,-1.48,-1.15,-0.87,-1.38
19640805,0.04,-0.36,-0.1,0.24,0.12,0.39
19640806,-0.43,-0.64,-0.52,-1.27,-0.92,-0.82
19640807,0.47,0.55,0.47,0.64,0.57,0.65
19640810,0.13,-0.03,0.2,0.18,0.02,-0.01
19640811,0.21,0.3,-0.12,0.12,0.05,-0.1
19640812,0.68,0.62,0.68,0.52,0.45,0.56
19640813,0.55,0.3,0.41,0.19,0.24,0.34
19640814,0.05,0.06,0.1,0.05,-0.09,-0.18
19640817,0.02,-0.11,-0.09,-0.27,0,0.13
19640818,-0.04,0.08,0.06,0.14,-0.01,0.14
19640819,-0.03,-0.09,0.01,-0.2,0.05,-0.17
19640820,-0.57,-0.41,-0.42,-0.41,-0.19,-0.72
19640821,0.21,0.26,0.33,-0.09,0.16,0.22
19640824,0.11,-0.04,0.11,0.28,-0.24,-0.31
19640825,-0.59,-0.43,-0.38,-0.65,-0.33,-0.63
19640826,-0.05,-0.12,-0.27,-0.08,-0.09,-0.21
19640827,0.24,0.36,0.29,0.3,0.29,0.86
19640828,0.33,0.14,0.41,0.38,0.07,0.63
19640831,0.05,0,0.35,-0.05,-0.11,-0.34
19640901,0.26,0.54,0.55,0.77,0.22,0.64
19640902,0.51,0.71,0.38,0.4,0.11,0.15
19640903,-0.04,0.02,0.27,0.05,0.2,0.45
19640904,0.16,0.32,0.22,0.39,0.18,0.18
19640908,0.23,0.12,0.28,0.25,0.2,0.08
19640909,0.19,0.15,0.23,0.31,0.12,0.3
19640910,-0.14,0.21,0.26,0.11,0.1,0.09
19640911,0.38,0.14,0.21,0.44,0.31,0.38
19640914,-0.33,-0.09,-0.01,0.19,-0.26,-0.35
19640915,-0.09,-0.45,0.01,-0.55,-0.25,-0.11
19640916,0.39,0.01,0.33,0.05,0.33,0.29
19640917,0.32,0.3,0.42,0.68,0.64,0.62
19640918,-0.2,-0.26,-0.23,-0.37,-0.27,-0.39
19640921,0.71,0.23,-0.02,0.56,0.34,0.48
19640922,0.07,0.23,0.05,0.31,0.01,0.03
19640923,0.17,0.22,-0.13,0.1,-0.06,0.07
19640924,0.2,-0.15,-0.04,0.5,0.04,0.16
19640925,0.26,0.36,0.09,0.03,0.3,0.16
19640928,0.16,0.08,-0.17,0.27,0.05,0.05
19640929,-0.16,0.05,0.07,0.02,-0.1,0.08
19640930,0.09,-0.01,0.21,-0.07,-0.04,-0.06
19641001,-0.23,0.03,0.17,-0.23,-0.1,-0.14
19641002,0.14,0.13,-0.02,0.19,0.47,0.11
19641005,0.34,0.39,0.18,0.51,0.44,0.44
19641006,-0.13,-0.13,0.16,-0.01,-0.01,0.09
19641007,0.03,0.03,-0.05,0.05,-0.13,0.05
19641008,0.35,0.19,0.44,0.29,0.1,0.38
19641009,0.37,0.37,0.28,0.42,0.22,0.05
19641012,0.16,0.4,0.7,0.19,0.17,-0.07
19641013,-0.05,-0.16,0.06,-0.13,-0.13,-0.47
19641014,0.09,-0.11,-0.41,-0.02,-0.1,-0.27
19641015,-1.35,-1.04,-1.19,-1.04,-0.49,-0.65
19641016,1.53,0.83,1.15,1.15,0.43,0.79
19641019,0.53,0.49,0.47,0.36,0.15,0.01
19641020,0.25,0.59,0.34,0.21,0.05,0.5
19641021,-0.09,-0.12,0.26,0.08,0.06,-0.19
19641022,-0.17,0.1,0.01,-0.21,-0.05,-0.23
19641023,0.1,0.29,0.24,0.11,0.12,0.37
19641026,0.26,0.19,0.05,0.12,0.06,-0.56
19641027,-0.21,0.07,0.02,-0.08,0.01,-0.04
19641028,-0.76,-0.47,-0.5,-0.28,-0.38,-0.26
19641029,0.05,-0.07,0.16,-0.04,0.19,-0.04
19641030,0.26,0.12,0.56,0.34,0.12,0.22
19641102,0.16,0.19,0.73,0.32,0.51,0.5
19641104,-0.28,0.05,0.03,0.26,-0.18,0.1
19641105,-0.42,-0.13,-0.28,-0.07,0.22,-0.1
19641106,-0.11,-0.01,0.07,0.19,0.42,0.05
19641109,-0.42,-0.16,-0.24,-0.55,0.05,0.12
19641110,-0.38,-0.29,-0.53,-0.57,-0.18,-0.54
19641111,0.26,0.41,0.44,0.49,0.35,0.09
19641112,0.7,0.34,0.31,0.42,0.07,0.19
19641113,0.6,0.1,0.46,0.18,0.04,0.17
19641116,0.24,0.37,0.35,0.6,0.31,0.71
19641117,0.07,0.2,0.14,0.74,0.37,0.54
19641118,-0.09,0.16,0.24,0.38,0.28,0.18
19641119,-0.26,-0.06,0.25,0.09,-0.05,0.08
19641120,0.17,0.44,-0.11,0.19,0.14,0.02
19641123,0.11,-0.27,0.09,-0.38,-0.29,-0.19
19641124,0,-0.19,-0.41,-0.35,-0.23,-0.28
19641125,0.09,-0.11,0.32,0.09,-0.23,-0.23
19641127,-0.13,-0.17,0.03,-0.27,-0.45,-0.13
19641130,-0.93,-0.94,-0.95,-1.17,-0.77,-0.83
19641201,-1.02,-0.96,-0.85,-1.39,-1.02,-0.89
19641202,0.22,0.16,0,0.2,0.49,0.21
19641203,0.54,0.23,0.35,0.49,0.48,0.28
