,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
19270725,0.42,0.33,-0.35,-0.07,0.41,0.67
19270726,-0.17,-0.02,-0.15,0.24,0.2,0.5
19270727,-0.35,-0.25,-0.54,0.1,0.11,0.08
19270728,-0.23,0.45,-0.55,-0.16,0.35,0.1
19270729,0.54,0.03,-0.02,-0.25,0.64,0.58
19270730,-0.48,-0.09,0.81,0.55,0.55,0.47
19270801,0.02,0.38,1.1,-0.01,0.5,0.95
19270802,0.25,0.13,0.26,0.72,0.65,0.67
19270803,-0.02,-0.22,-1.06,0.21,-0.67,-0.96
19270804,0.97,0.72,0.98,2.16,0.77,0.76
19270805,-0.19,-0.07,-1.18,-0.19,-0.52,-1.01
19270806,-0.3,0.23,0.33,-0.21,-0.08,-0.14
19270808,-0.57,-0.48,-1.39,-0.63,-0.97,-1.52
19270809,0.47,0.83,1.61,0.79,0.85,1.24
19270810,0.31,0,-0.09,-0.42,0.37,0.32
19270811,-0.77,-1.22,-1.37,-0.63,-0.73,-1.59
19270812,-1.73,-1.9,-3.27,-1.03,-1.34,-2.01
19270813,0.43,1.02,1.48,0.56,0.78,1.23
19270815,1.5,1.39,1.46,1.03,1.21,1.56
19270816,-0.18,0.88,1.33,0.45,0.59,0.77
19270817,0.64,0.88,0.68,0.33,0.35,0.25
19270818,-0.61,-0.34,0.15,0.43,0.07,-0.15
19270819,0.12,0.32,0.3,-0.56,-0.05,0.65
19270820,0.53,0.27,0.46,-0.06,0.19,0.8
19270822,-0.26,0.43,0.44,-0.25,0.5,0.48
19270823,-0.18,0.4,-0.12,-0.24,0.1,0.11
19270824,0.28,0.04,0.45,-0.51,0.19,0.52
19270825,-0.59,-0.43,-0.23,-0.38,-0.14,0.41
19270826,-0.07,0.09,-0.23,-0.31,0.11,0.67
19270827,0.11,0,0.06,-0.35,-0.27,0.2
19270829,-0.11,0.11,-0.09,-0.73,-0.08,0.27
19270830,-0.53,-0.08,-0.45,-0.03,-0.21,0.32
19270831,-0.43,-0.63,-1.43,-0.39,-0.43,-0.66
19270901,0.7,0.29,1.52,0.78,0.72,1.05
19270902,0.73,0.56,1.25,-0.08,0.72,0.61
19270903,0.52,0.19,0.23,0.56,0.41,0.7
19270906,0.72,0.58,0.17,0.15,0.86,1.37
19270907,0.44,0.42,0,0.25,0.43,0.57
19270908,0.01,-0.23,0.34,0.65,0.09,-0.38
19270909,-0.5,-0.8,-1.03,0.19,-0.51,-0.99
19270910,0.51,0.35,0.71,0.33,0.36,0.59
19270912,-0.03,-0.33,-0.14,0.33,-0.36,-0.6
19270913,0.58,0.55,0.46,0.69,1.35,1.52
19270914,-0.57,0.3,-0.18,-0.21,0.12,0.93
19270915,0.28,0.3,-0.73,-0.72,0.02,0.92
19270916,-0.55,-0.11,0.16,-0.28,-0.08,0.48
19270917,0.03,-0.22,-0.38,-0.39,-0.13,-0.47
19270919,-0.74,-0.53,-0.81,0.22,-0.34,-0.38
19270920,0.63,0.47,1.13,0.66,0.57,0.36
19270921,0.61,-0.08,-0.27,0.21,-0.03,-0.39
19270922,-1.55,-1.18,-1.22,-1.04,-1,-1.43
19270923,0.08,0.46,1,0.15,0.36,0.79
19270924,0.21,0.2,0.7,0.55,0.54,0.93
19270926,-1.05,-0.91,-0.58,-0.63,-0.54,-1.65
19270927,-0.57,-0.37,0.21,-0.15,0.23,0.29
19270928,-0.4,-0.06,-0.5,0.04,-0.11,-0.78
19270929,0.57,-0.49,0.5,-0.26,0.12,0.35
19270930,1.1,0.65,1.17,0.33,1.19,1.6
19271001,0.06,0.56,0.32,0.09,0.26,0.6
19271003,-0.15,0.26,1.07,-0.1,0.74,0.05
19271004,-0.16,-0.21,-1.08,-0.53,-0.52,-0.24
19271005,-0.33,-0.42,-0.45,-0.45,-0.37,-0.14
19271006,0.1,0.27,0.9,-0.14,0.44,0.19
19271007,-0.3,-0.51,-0.95,-0.81,-0.55,-0.95
19271008,-0.83,-0.22,-0.63,-0.36,-0.27,-0.28
19271010,-1.18,-0.79,-1.09,-0.1,-0.45,-0.61
19271011,0.5,0.11,0.58,-0.23,0.04,0.15
19271013,0.48,-0.04,1.62,0.77,0.53,1.02
19271014,0.85,0.36,0.62,0.53,-0.04,-0.07
19271015,0.79,0.22,0.48,-0.07,-0.05,0.09
19271017,-1.43,-0.93,-2.02,-0.8,-1,-1.75
19271018,0.04,0.01,0.41,0.2,0.35,0.52
19271019,-0.88,0.02,-0.63,-0.07,-0.6,-1.37
19271020,-0.84,-1.47,-0.82,-0.73,-0.85,-1.42
19271021,0.04,0.04,-0.44,1.24,-0.8,-1.15
19271022,-0.43,-0.99,-0.74,-0.13,-0.43,-1.19
19271024,0.52,0.27,-0.11,0.9,0.46,0.3
19271025,0.54,1.18,2.48,0.87,1.38,2.29
19271026,0.39,0.8,0.15,-0.47,0.17,0
19271027,0.26,-0.13,0.01,-0.87,-0.26,-0.53
19271028,-1.33,-1.79,-1.69,-0.92,-1.22,-2.05
19271029,-0.78,-0.59,-1.48,-0.23,-0.48,-0.54
19271031,0.9,0.09,0.96,0.75,0.59,1.1
19271101,0.08,0.44,0.03,0.12,0,-0.1
19271102,0.03,0.4,0.45,1.75,0.81,1.27
19271103,1.19,0.68,0.64,2.55,0.88,1.21
19271104,-0.53,0.62,-0.19,-0.24,0.02,-0.21
19271105,0.56,0.57,1.29,-0.29,0.59,0.8
19271107,0.42,0.72,1.73,-0.06,0.52,0.86
19271109,-0.4,-0.37,-0.68,-0.76,-0.52,-1.13
19271110,-0.06,0.02,0.01,0.2,0.2,0.47
19271111,0.17,0.96,0.57,0.37,0.5,1.58
19271112,0.9,0.16,0.11,0.11,0.48,0.32
19271114,0.85,0.46,1.29,0.21,0.56,0.57
19271115,0.44,0.53,-0.29,1.16,0.11,-0.06
19271116,0.27,0.4,0.31,-0.46,0.02,-0.07
19271117,0.56,0.37,0.46,0.09,0.17,0.2
19271118,1.07,0.87,0.77,0.9,0.46,0.88
19271119,0.36,1.09,0.56,0.28,0.13,0.34
19271121,-0.18,-0.11,-0.57,-0.02,-0.31,-1.08
19271122,0.08,0.45,0.46,-0.04,0.33,0.61
19271123,0.49,0.56,-0.17,0.31,0.38,0.13
19271125,1.45,0.62,0.28,-0.22,0.41,0.08
19271126,0.86,0.58,-0.13,-0.18,0,-0.02
19271128,-0.13,-1.17,-1.06,-0.52,-0.65,-0.99
19271129,1.32,0.68,1.32,0.8,0.43,0.98
19271130,0.32,0.4,0.55,-1.07,0.27,1.08
19271201,-0.87,-0.47,-0.56,-0.54,-0.23,-0.85
19271202,-0.65,0.26,0.47,-0.29,0.31,0.37
19271203,0.12,-0.01,0.26,0.13,0.31,0.59
19271205,-0.17,0.43,-0.5,-0.68,-0.45,-0.42
